,column_name,column_label
0,CNT,Country code 3-character
1,CNTRYID,Country Identifier
2,CNTSCHID,Intl. School ID
3,CNTSTUID,Intl. Student ID
4,CYC,PISA Assessment Cycle (2 digits + 2 character Assessment type - MS/FT)
5,NatCen,National Centre 6-digit Code
6,STRATUM,Stratum ID 5-character (cnt + original stratum ID)
7,SUBNATIO,Adjudicated sub-region code 7-digit code (3-digit country code + region ID + stratum ID)
8,REGION,REGION
9,OECD,OECD country
10,ADMINMODE,Mode of Respondent
11,LANGTEST_QQQ,Language of Questionnaire
12,LANGTEST_COG,Language of Assessment
13,LANGTEST_PAQ,Language of Parent Questionnaire
14,Option_CT,Creative Thinking Option
15,Option_FL,Financial Literacy Option
16,Option_ICTQ,ICT Questionnaire Option
17,Option_WBQ,Well-Being Questionnaire Option
18,Option_PQ,Parent Questionnaire Option
19,Option_TQ,Teacher Questionnaire Option
20,Option_UH,Une Heure Option
21,BOOKID,Form Identifier
22,ST001D01T,Student International Grade (Derived)
23,ST003D02T,Student (Standardized) Birth - Month
24,ST003D03T,Student (Standardized) Birth -Year
25,ST004D01T,Student (Standardized) Gender
26,ST250Q01JA,Which of the following are in your [home]: A room of your own
27,ST250Q02JA,"Which of the following are in your [home]: A computer (laptop, desktop, or tablet) that you can use for school work"
28,ST250Q03JA,Which of the following are in your [home]: Educational Software or Apps
29,ST250Q04JA,Which of the following are in your [home]: Your own [cell phone] with Internet access (e.g. smartphone)
30,ST250Q05JA,Which of the following are in your [home]: Internet access (e.g. Wi-fi) (excluding through smartphones)
31,ST250D06JA,Which of the following are in your home? <Country-specific item 1>
32,ST250D07JA,Which of the following are in your home? <Country-specific item 2>
33,ST251Q01JA,"How many of these items are there at your [home]: Cars, vans, or trucks"
34,ST251Q02JA,How many of these items are there at your [home]: Mopeds or motorcycles
35,ST251Q03JA,How many of these items are there at your [home]: Rooms with a bath or shower
36,ST251Q04JA,How many of these items are there at your [home]: Rooms with a [flush toilet]
37,ST251Q06JA,"How many of these items are there at your [home]: Musical instruments (e.g. guitar, piano, [country-specific example])"
38,ST251Q07JA,"How many of these items are there at your [home]: Works of art (e.g. paintings, sculptures, [country-specific example])"
39,ST251D08JA,How many of these items are there at your home? <Country-specific item 1>
40,ST251D09JA,How many of these items are there at your home? <Country-specific item 2>
41,ST253Q01JA,How many [digital devices] with screens are there in your [home]?
42,ST254Q01JA,How many of the following [digital devices] are in your [home]: Televisions
43,ST254Q02JA,How many of the following [digital devices] are in your [home]: Desktop computers
44,ST254Q03JA,How many of the following [digital devices] are in your [home]: Laptop computers or notebooks
45,ST254Q04JA,"How many of the following [digital devices] are in your [home]: Tablets (e.g. [iPad®], [BlackBerry® Playbook™])"
46,ST254Q05JA,"How many of the following [digital devices] are in your [home]: E-book readers (e.g. [Kindle™], [Kobo], [Bookeen])"
47,ST254Q06JA,How many of the following [digital devices] are in your [home]: [Cell phones] with Internet access (i.e. smartphones)
48,ST255Q01JA,How many books are there in your [home]?
49,ST256Q01JA,"How many of these books at [home]: Religious books (e.g. [Bible], [Example 2])"
50,ST256Q02JA,"How many of these books at [home]: Classical literature (e.g. [Shakespeare], [Example 2])"
51,ST256Q03JA,How many of these books at [home]: Contemporary literature
52,ST256Q06JA,How many of these books at [home]: Books on science
53,ST256Q07JA,"How many of these books at [home]: Books on art, music, or design"
54,ST256Q08JA,How many of these books at [home]: [Technical reference books]
55,ST256Q09JA,How many of these books at [home]: Dictionaries
56,ST256Q10JA,How many of these books at [home]: Books to help with your school work
